ProductID,ProductName,Category,Brand,ReturnWindowDays,ReturnEligible,ReturnlessRefundEligible,NonReturnableReason
P00014,Drone Mini,Books,BrightLux,30,True,True,
P00040,Microphone,Home & Kitchen,UrbanStyle,30,False,False,Product/category designated non-returnable
P00044,Power Bank 20000mAh,Clothing,UrbanStyle,30,False,False,Health/safety-sensitive item
P00041,Webcam Full HD,Home & Kitchen,Zenith,30,True,True,
P00029,T-Shirt,Clothing,KiddoFun,7,True,False,
P00023,Cookware Set,Books,ReadMore,30,False,False,Customized item
P00030,Dress Shirt,Clothing,UrbanStyle,15,True,False,
P00028,Jeans,Toys & Games,KiddoFun,30,True,False,
P00031,Kids Toy Car,Sports & Outdoors,Apex,30,True,False,
P00001,Wireless Earbuds,Clothing,Apex,30,True,False,
P00046,Car Charger,Books,HomeEase,30,True,False,
P00042,Projector Mini,Home & Kitchen,KiddoFun,30,True,False,
P00018,Vacuum Cleaner,Home & Kitchen,Zenith,30,True,False,
P00035,Desk Plant,Books,HomeEase,30,True,False,
P00025,Running Shoes,Home & Kitchen,Zenith,30,True,False,
P00039,Graphic Tablet,Toys & Games,KiddoFun,30,True,False,
P00033,Puzzle 1000pc,Electronics,ReadMore,30,True,False,
P00010,Smartwatch,Books,ReadMore,30,True,False,
P00003,Smartphone Case,Toys & Games,Apex,30,True,False,
P00021,Backpack,Electronics,ReadMore,30,True,False,
P00008,4K Monitor,Toys & Games,KiddoFun,30,True,False,
P00036,Smart Light Bulb,Toys & Games,UrbanStyle,30,True,False,
P00019,LED Desk Lamp,Books,HomeEase,30,True,False,
P00045,Phone Tripod,Toys & Games,ReadMore,30,True,False,
P00006,Gaming Mouse,Sports & Outdoors,FitLife,30,True,False,
P00047,Memory Card 128GB,Electronics,CoreTech,30,True,False,
P00032,Board Game,Electronics,CoreTech,30,True,False,
P00015,Instant Pot,Electronics,ReadMore,30,True,False,
P00022,Water Bottle,Books,HomeEase,30,True,False,
P00009,Portable SSD 1TB,Toys & Games,HomeEase,30,True,False,
P00012,Noise Cancelling Headphones,Books,KiddoFun,30,True,False,
P00050,Novel Bestseller,Electronics,NexPro,30,True,False,
P00049,Children's Book,Sports & Outdoors,FitLife,30,True,False,
P00005,Laptop Sleeve,Clothing,UrbanStyle,30,True,False,
P00016,Air Fryer,Toys & Games,Apex,30,True,False,
P00027,Winter Jacket,Electronics,NexPro,30,True,False,
P00037,Router,Books,BrightLux,30,True,False,
P00004,USB-C Charger,Toys & Games,HomeEase,30,True,False,
P00011,Fitness Band,Home & Kitchen,Zenith,30,True,False,
P00026,Sunglasses,Toys & Games,NexPro,30,True,False,
P00007,Mechanical Keyboard,Electronics,CoreTech,30,True,False,
P00017,Electric Kettle,Sports & Outdoors,KiddoFun,30,True,False,
P00048,Wireless Charger,Clothing,HomeEase,30,True,False,
P00043,HDMI Cable 2m,Electronics,NexPro,30,True,False,
P00034,Desk Organizer,Clothing,HomeEase,30,True,False,
P00024,Yoga Mat,Sports & Outdoors,UrbanStyle,30,True,False,
P00013,Action Camera,Toys & Games,ReadMore,30,True,False,
P00038,External HDD 2TB,Home & Kitchen,UrbanStyle,30,True,False,
P00020,Office Chair,Electronics,FitLife,30,True,False,
P00002,Bluetooth Speaker,Electronics,KiddoFun,30,True,False,
